AGENT_TYPE	N	M	W	CONVERGED_SIMS	TOTAL_SIMS	MEAN_ROUND	STD_DEV
TP	24	12	10	2993	3000	22.14	10.6
BR	24	12	10	3000	3000	14.64	5.35
CB	24	12	10	3000	3000	15.19	6.77
TP	48	12	10	2995	3000	24.22	8.49
BR	48	12	10	3000	3000	15.1	4.44
CB	48	12	10	3000	3000	16.6	6.32
TP	96	12	10	2999	3000	24.45	5.66
BR	96	12	10	3000	3000	14.9	2.92
CB	96	12	10	3000	3000	17.04	4.93
TP	24	12	100	2986	3000	27.23	10.64
BR	24	12	100	2947	3000	25.89	11.95
CB	24	12	100	3000	3000	19.28	7.68
TP	48	12	100	2981	3000	30.95	10.3
BR	48	12	100	2994	3000	25.95	9.44
CB	48	12	100	3000	3000	20.24	7.11
TP	96	12	100	2992	3000	31.0	7.6
BR	96	12	100	3000	3000	24.75	6.51
CB	96	12	100	2999	3000	20.04	5.58
